DATAFLOW,UNIT_MEASURE,MEASURE,FREQ,ECOICOP_1999,BASE_PERIOD,ECOICOP_2018,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,DECIMALS,COMMENT_DSET,COMMENT_OBS,COMMENT_TS
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-06,100.64,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-07,99.82,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-08,99.17,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-09,100.41,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-10,98.28,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-11,99.55,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-12,98.85,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-01,98.55,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-02,100.1,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-03,99.2,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-04,99.52,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-05,97.36,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-06,95.72,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-07,97.81,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-08,99.12,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-09,100.93,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-10,98.28,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-11,98.53,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2017-12,97.71,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-01,98.73,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-02,98.26,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-03,98.16,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-04,98.48,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-05,99.24,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-06,100.2,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-07,100.17,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-08,99.04,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-09,99.48,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-10,99.57,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-11,99.64,0,,2,ECOICOP,,
